timestamp,flux_nA
2025-11-02T07:32:57.497,-0.11
2025-11-02T07:32:57.990,-0.11
2025-11-02T07:32:58.481,-0.07
2025-11-02T07:32:58.995,-0.1
2025-11-02T07:33:00.050,-0.09
2025-11-02T07:33:00.501,-0.09
2025-11-02T07:33:01.014,-0.07
2025-11-02T07:33:03.076,-0.09
2025-11-02T07:33:04.332,-0.1
2025-11-02T07:33:04.543,-0.1
2025-11-02T07:33:05.570,-0.07
2025-11-02T07:33:06.844,-0.09
2025-11-02T07:33:07.043,-0.09
2025-11-02T07:33:09.176,-0.11
2025-11-02T07:33:10.327,-0.09
2025-11-02T07:33:10.557,-0.11
2025-11-02T07:33:11.600,-0.1
2025-11-02T07:33:12.857,-0.1
2025-11-02T07:33:13.057,-0.1
2025-11-02T07:33:14.124,-0.09
2025-11-02T07:33:15.385,-0.09
2025-11-02T07:33:15.584,-0.09
2025-11-02T07:33:16.638,-0.08
2025-11-02T07:33:17.934,-0.1
2025-11-02T07:33:18.123,-0.09
2025-11-02T07:33:19.170,-0.11
2025-11-02T07:33:20.427,-0.1
2025-11-02T07:33:20.649,-0.1
2025-11-02T07:33:21.700,-0.09
2025-11-02T07:33:22.962,-0.1
2025-11-02T07:33:23.171,-0.1
2025-11-02T07:33:24.238,-0.09
2025-11-02T07:33:25.474,-0.09
2025-11-02T07:33:25.704,-0.09
2025-11-02T07:33:26.743,-0.09
2025-11-02T07:33:28.991,-0.12
2025-11-02T07:33:29.206,-0.12
2025-11-02T07:33:29.710,-0.09
2025-11-02T07:33:30.209,-0.11
2025-11-02T07:33:30.711,-0.12
2025-11-02T07:33:31.210,-0.08
2025-11-02T07:33:31.711,-0.1
2025-11-02T07:33:32.213,-0.1
2025-11-02T07:33:32.717,-0.09
2025-11-02T07:33:33.209,-0.11
2025-11-02T07:33:33.704,-0.09
2025-11-02T07:33:34.202,-0.09
2025-11-02T07:33:34.706,-0.11
2025-11-02T07:33:35.204,-0.09
2025-11-02T07:33:35.703,-0.09
2025-11-02T07:33:36.203,-0.11
2025-11-02T07:33:36.725,-0.07
2025-11-02T07:33:37.226,-0.09
2025-11-02T07:33:37.722,-0.1
2025-11-02T07:33:38.223,-0.08
